subtype,question,structured,correct_answer
blood_relation,Rohit is Meera's son. Meera is Manoj's daughter. How is Rohit related to Manoj?,Rohit|son|Meera;Meera|daughter|Manoj,grandson
direction_sense,"Karan walks 5km east, then 8km south, then 8km south. How far is Karan from the starting point?",5km east;8km south;8km south,16.76
coding_decoding,"If CUP is coded as HZU, how is LOG coded?",CUP->HZU;LOG->?,QTL
syllogism,Statement 1: Some fruits are cars. Statement 2: Some cars are cats. Conclusion: Some fruits are cats. Is the conclusion valid?,Some fruits are cars|Some cars are cats|Some fruits are cats,invalid
blood_relation,Vikram is Manoj's son. Manoj is Rohit's son. How is Vikram related to Rohit?,Vikram|son|Manoj;Manoj|son|Rohit,grandson
direction_sense,"Divya walks 4km north, then 4km west. How far is Divya from the starting point?",4km north;4km west,5.66
coding_decoding,"If CUP is coded as DVQ, how is BAT coded?",CUP->DVQ;BAT->?,CBU
syllogism,Statement 1: All birds are cats. Statement 2: No cats are pets. Conclusion: No birds are pets. Is the conclusion valid?,All birds are cats|No cats are pets|No birds are pets,valid
blood_relation,Rohit is Suresh's father. Suresh is Divya's father. How is Rohit related to Divya?,Rohit|father|Suresh;Suresh|father|Divya,grandfather
direction_sense,"Karan walks 9km north, then 7km south. How far is Karan from the starting point?",9km north;7km south,2.0
coding_decoding,"If DOG is coded as GRJ, how is COW coded?",DOG->GRJ;COW->?,FRZ
syllogism,Statement 1: All flowers are fruits. Statement 2: All fruits are plants. Conclusion: All flowers are plants. Is the conclusion valid?,All flowers are fruits|All fruits are plants|All flowers are plants,valid
blood_relation,Rohit is Arjun's mother. Arjun is Divya's father. How is Rohit related to Divya?,Rohit|mother|Arjun;Arjun|father|Divya,grandmother
direction_sense,"Manoj walks 10km east, then 4km north. How far is Manoj from the starting point?",10km east;4km north,10.77
coding_decoding,"If SUN is coded as UWP, how is RUN coded?",SUN->UWP;RUN->?,TWP
syllogism,Statement 1: All animals are cars. Statement 2: No cars are mammals. Conclusion: No animals are mammals. Is the conclusion valid?,All animals are cars|No cars are mammals|No animals are mammals,valid
blood_relation,Arjun is Suresh's daughter. Suresh is Manoj's daughter. How is Arjun related to Manoj?,Arjun|daughter|Suresh;Suresh|daughter|Manoj,granddaughter
direction_sense,"Karan walks 8km east, then 4km south, then 4km north. How far is Karan from the starting point?",8km east;4km south;4km north,8.0
coding_decoding,"If PEN is coded as RGP, how is BOX coded?",PEN->RGP;BOX->?,DQZ
syllogism,Statement 1: No dogs are cats. Statement 2: Some cats are pets. Conclusion: Some pets are not dogs. Is the conclusion valid?,No dogs are cats|Some cats are pets|Some pets are not dogs,valid
blood_relation,Divya is Kavya's father. Kavya is Anjali's mother. How is Divya related to Anjali?,Divya|father|Kavya;Kavya|mother|Anjali,grandfather
direction_sense,"Karan walks 7km north, then 4km south. How far is Karan from the starting point?",7km north;4km south,3.0
coding_decoding,"If PEN is coded as UJS, how is TOP coded?",PEN->UJS;TOP->?,YTU
syllogism,Statement 1: Some dogs are foods. Statement 2: All foods are fruits. Conclusion: Some dogs are fruits. Is the conclusion valid?,Some dogs are foods|All foods are fruits|Some dogs are fruits,valid
blood_relation,Kavya is Nikhil's mother. Nikhil is Amit's father. How is Kavya related to Amit?,Kavya|mother|Nikhil;Nikhil|father|Amit,grandmother
direction_sense,"Sneha walks 8km east, then 5km south, then 5km north. How far is Sneha from the starting point?",8km east;5km south;5km north,8.0
coding_decoding,"If PEN is coded as RGP, how is LOG coded?",PEN->RGP;LOG->?,NQI
syllogism,Statement 1: Some foods are fruits. Statement 2: All fruits are cars. Conclusion: Some foods are cars. Is the conclusion valid?,Some foods are fruits|All fruits are cars|Some foods are cars,valid
blood_relation,Suresh is Riya's daughter. Riya is Pooja's daughter. How is Suresh related to Pooja?,Suresh|daughter|Riya;Riya|daughter|Pooja,granddaughter
direction_sense,"Nikhil walks 5km north, then 4km south. How far is Nikhil from the starting point?",5km north;4km south,1.0
coding_decoding,"If SUN is coded as VXQ, how is TOP coded?",SUN->VXQ;TOP->?,WRS
syllogism,Statement 1: All foods are cats. Statement 2: All cats are animals. Conclusion: All foods are animals. Is the conclusion valid?,All foods are cats|All cats are animals|All foods are animals,valid
blood_relation,Arjun is Anjali's mother. Anjali is Kavya's mother. How is Arjun related to Kavya?,Arjun|mother|Anjali;Anjali|mother|Kavya,grandmother
direction_sense,"Manoj walks 4km south, then 8km east. How far is Manoj from the starting point?",4km south;8km east,8.94
coding_decoding,"If CUP is coded as HZU, how is LOG coded?",CUP->HZU;LOG->?,QTL
syllogism,Statement 1: Some pets are birds. Statement 2: All birds are flowers. Conclusion: Some pets are flowers. Is the conclusion valid?,Some pets are birds|All birds are flowers|Some pets are flowers,valid
